date,l7mp/stunnerd,l7mp/stunner-gateway-operator,coturn/coturn
2025-08-24,168896,182566,7888252
2025-08-25,169186,182817,7894886
2025-08-26,169673,183116,7901874
2025-08-27,170448,183455,7908788
2025-08-28,172817,183695,7915503
2025-08-29,176308,183875,7922341
2025-08-30,179710,183994,7928505
2025-08-31,183222,184200,7932772
2025-09-01,183936,184453,7939038
2025-09-02,184302,184716,7944662
2025-09-03,184639,184989,7951563
2025-09-04,184956,185203,7958920
2025-09-05,185267,185400,7963139
2025-09-06,185520,185569,7967322
2025-09-07,185848,185822,7972892
2025-09-08,186155,186049,7978373
2025-09-09,186579,186330,7984730
2025-09-10,187017,186603,7990810
2025-09-11,187606,186861,7997453
2025-09-12,187979,187016,8004099
2025-09-13,188316,187211,8009891
2025-09-14,188678,187420,8015509
2025-09-15,189010,187650,8021766
2025-09-16,189368,187965,8028713
2025-09-17,189748,188268,8035016
2025-09-18,190150,188549,8041739
2025-09-19,190592,188831,8048037
2025-09-20,190949,189064,8053361
2025-09-21,191165,189228,8060154
2025-09-22,191387,189420,8070061
2025-09-23,191632,189638,8076780
2025-09-24,191942,189896,8083802
2025-09-25,192303,190142,8090850
2025-09-26,192707,190402,8097612
2025-09-27,193035,190636,8103919
2025-09-28,193382,190881,8108783
2025-09-29,193633,191125,8115081
2025-09-30,193910,191377,8121068
